Region,RowLabel,ColLabel,Value
"SEAsia","MeatLstk-c","Util_Cons-a",13.014551135
"SEAsia","MeatLstk-c","TransComm-a",9.8099941E+3
"SEAsia","MeatLstk-c","OthServices-a",2.7195659E+3
"SEAsia","MeatLstk-c","hhd",5.6187772E+4
"SEAsia","MeatLstk-c","gov",1.1040093E+2
"SEAsia","MeatLstk-c","inv",5.6391692E+3
"SEAsia","Extraction-c","Agriculture-a",3.8847681E+3
"SEAsia","Extraction-c","Extraction-a",1.0397560E+4
"SEAsia","Extraction-c","ProcFood-a",1.7137577E+4
"SEAsia","Extraction-c","TextWapp-a",4.4959219E+2
"SEAsia","Extraction-c","LightMnfc-a",1.5529708E+4
"SEAsia","Extraction-c","HeavyMnfc-a",1.6440204E+5
"SEAsia","Extraction-c","Util_Cons-a",4.0100361E+4
"SEAsia","Extraction-c","TransComm-a",3.6738687E+3
"SEAsia","Extraction-c","OthServices-a",1.6155027E+3
"SEAsia","Extraction-c","hhd",2.9628439E+4
"SEAsia","Extraction-c","gov",58.463061911
"SEAsia","Extraction-c","inv",4.2004727E+2
"SEAsia","ProcFood-c","Agriculture-a",1.6546710E+4
"SEAsia","ProcFood-c","Extraction-a",2.3120644E+3
"SEAsia","ProcFood-c","ProcFood-a",7.6980671E+4
"SEAsia","ProcFood-c","TextWapp-a",6.2975777E+2
"SEAsia","ProcFood-c","LightMnfc-a",1.4112278E+3
"SEAsia","ProcFood-c","HeavyMnfc-a",3.3388540E+3
"SEAsia","ProcFood-c","Util_Cons-a",1.7368782E+2
"SEAsia","ProcFood-c","TransComm-a",2.3384812E+4
"SEAsia","ProcFood-c","OthServices-a",7.0018836E+3
"SEAsia","ProcFood-c","hhd",1.6473622E+5
"SEAsia","ProcFood-c","gov",5.4454714E+2
"SEAsia","ProcFood-c","inv",3.7584868E+2
"SEAsia","TextWapp-c","Agriculture-a",2.1924423E+2
"SEAsia","TextWapp-c","Extraction-a",3.3563233E+2
"SEAsia","TextWapp-c","ProcFood-a",4.1026344E+2
"SEAsia","TextWapp-c","TextWapp-a",6.2526635E+4
"SEAsia","TextWapp-c","LightMnfc-a",9.4677227E+3
"SEAsia","TextWapp-c","HeavyMnfc-a",5.3240662E+3
"SEAsia","TextWapp-c","Util_Cons-a",8.3147064E+2
"SEAsia","TextWapp-c","TransComm-a",4.0721723E+3
"SEAsia","TextWapp-c","OthServices-a",4.0133377E+3
"SEAsia","TextWapp-c","hhd",4.4221522E+4
"SEAsia","TextWapp-c","gov",1.4285121E+2
"SEAsia","TextWapp-c","inv",7.1764782E+2
"SEAsia","LightMnfc-c","Agriculture-a",1.6683221E+3
"SEAsia","LightMnfc-c","Extraction-a",4.3880098E+3
